;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
1325;FEMENINO;COMERCIO;TIENDA;MANRIQUE CENTRAL NO. 1;2;4.0;5000000;MICROEMPRESARIAL;2018-08-01
1326;FEMENINO;COMERCIO;VARIEDADES;CAMPO VALDES NO. 1;3;4.0;7500000;MICROEMPRESARIAL;2018-08-16
1327;FEMENINO;COMERCIO;VENTA DE CALZADO;CABECERA SAN ANTONIO ;2;80.0;7377000;MICROEMPRESARIAL;2017-01-31
1329;FEMENINO;SERVICIO;COMIDAS RAPIDAS;SAN JAVIER NO.1;2;13.0;5000000;MICROEMPRESARIAL;2016-10-11
1330;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;ENCISO;2;8.0;6000000;MICROEMPRESARIAL;2018-10-03
1331;FEMENINO;COMERCIO;COMIDAS RAPIDAS;MANRIQUE CENTRAL NO. 2;2;3.0;4000000;MICROEMPRESARIAL;2018-09-17
1332;FEMENINO;COMERCIO;MARQUETERIA;CRISTO REY;3;15.0;7377000;MICROEMPRESARIAL;2017-06-13
1333;FEMENINO;COMERCIO;VARIEDADES;PLAYON DE LOS ;1;2.0;7800000;MICROEMPRESARIAL;2018-07-09
1334;FEMENINO;COMERCIO;COMIDAS RAPIDAS;ROBLEDO;2;7.0;7300000;MICROEMPRESARIAL;2017-10-12
1335;MASCULINO;COMERCIO;BILLARES;VILLATINA;2;8.0;2000000;MICROEMPRESARIAL;2017-06-22
1336;MASCULINO;COMERCIO;PANADERIA;CASTILLA;3;5.0;7300000;MICROEMPRESARIAL;2017-11-23
1337;FEMENINO;SERVICIO;RESTAURANTE;LAS VIOLETAS;2;16.0;7000000;MICROEMPRESARIAL;2019-05-14
1338;MASCULINO;COMERCIO;COMIDAS RAPIDAS;LA MILAGROSA;2;9.0;3500000;MICROEMPRESARIAL;2018-04-23
1339;MASCULINO;SERVICIO;VARIEDADES;ANDALUCIA;2;2.0;7300000;MICROEMPRESARIAL;2017-02-13
1340;MASCULINO;SERVICIO;BILLARES;BUENOS AIRES;3;9.0;7800000;MICROEMPRESARIAL;2018-08-15
1341;FEMENINO;COMERCIO;VARIEDADES;SAN JAVIER NO.1;2;13.0;6000000;MICROEMPRESARIAL;2018-02-23
1342;MASCULINO;AGROPECUARIA;FABRICA DE ALIMENTOS;ROBLEDO;3;7.0;7377000;MICROEMPRESARIAL;2017-02-03
1343;MASCULINO;SERVICIO;RESTAURANTE;FRANCISCO ANTONIO ZEA;3;5.0;7370000;MICROEMPRESARIAL;2017-10-12
1344;FEMENINO;COMERCIO;TIENDA;PEDREGAL;1;6.0;4000000;MICROEMPRESARIAL;2017-04-07
1345;MASCULINO;SERVICIO;COMIDAS RAPIDAS;BELENCITO;3;13.0;7370000;MICROEMPRESARIAL;2017-07-06
1346;MASCULINO;COMERCIO;BARBERIA;SAN ANTONIO;3;8.0;7800000;MICROEMPRESARIAL;2018-02-14
